Week of Date,Country,Unit,Value
"December 29, 2019",Belgium,Million Cubic Meter,2072.445954
"January 26, 2020",Belgium,Million Cubic Meter,1812.234985
"March 1, 2020",Belgium,Million Cubic Meter,1743.272369
"March 29, 2020",Belgium,Million Cubic Meter,1071.043427
"April 26, 2020",Belgium,Million Cubic Meter,1059.300537
"May 31, 2020",Belgium,Million Cubic Meter,1016.187928
"June 28, 2020",Belgium,Million Cubic Meter,1115.552002
"July 26, 2020",Belgium,Million Cubic Meter,995.599075
"August 30, 2020",Belgium,Million Cubic Meter,1044.516021
"September 27, 2020",Belgium,Million Cubic Meter,1394.141144
"November 1, 2020",Belgium,Million Cubic Meter,1656.214477
"November 29, 2020",Belgium,Million Cubic Meter,2023.743622
"December 27, 2020",Belgium,Million Cubic Meter,2293.799347
"January 31, 2021",Belgium,Million Cubic Meter,1895.20108
"February 28, 2021",Belgium,Million Cubic Meter,1815.647949
"March 28, 2021",Belgium,Million Cubic Meter,1605.31021
"April 25, 2021",Belgium,Million Cubic Meter,1179.667465
"May 30, 2021",Belgium,Million Cubic Meter,868.791596
"June 27, 2021",Belgium,Million Cubic Meter,820.549043
"August 1, 2021",Belgium,Million Cubic Meter,822.476562
"August 29, 2021",Belgium,Million Cubic Meter,842.096222
"September 26, 2021",Belgium,Million Cubic Meter,1185.399414
"October 31, 2021",Belgium,Million Cubic Meter,1759.257873
"November 28, 2021",Belgium,Million Cubic Meter,1868.4646
"December 26, 2021",Belgium,Million Cubic Meter,2037.655914
"January 30, 2022",Belgium,Million Cubic Meter,1551.22554
"February 27, 2022",Belgium,Million Cubic Meter,1410.495911
"March 27, 2022",Belgium,Million Cubic Meter,1135.689072
"May 1, 2022",Belgium,Million Cubic Meter,888.596436
"May 29, 2022",Belgium,Million Cubic Meter,803.901108
"June 26, 2022",Belgium,Million Cubic Meter,787.745926
"July 31, 2022",Belgium,Million Cubic Meter,841.792053
"August 28, 2022",Belgium,Million Cubic Meter,877.111909
"September 25, 2022",Belgium,Million Cubic Meter,1021.749145
"October 30, 2022",Belgium,Million Cubic Meter,1210.150788
"November 27, 2022",Belgium,Million Cubic Meter,1711.764526
"January 1, 2023",Belgium,Million Cubic Meter,1671.038849
"January 29, 2023",Belgium,Million Cubic Meter,1535.130707
"February 26, 2023",Belgium,Million Cubic Meter,1519.411925
"March 26, 2023",Belgium,Million Cubic Meter,1159.856552
"April 30, 2023",Belgium,Million Cubic Meter,812.51152
"May 28, 2023",Belgium,Million Cubic Meter,745.046555
"June 25, 2023",Belgium,Million Cubic Meter,690.638444
"July 30, 2023",Belgium,Million Cubic Meter,733.452194
"August 27, 2023",Belgium,Million Cubic Meter,748.495865
"October 1, 2023",Belgium,Million Cubic Meter,915.55719
"October 29, 2023",Belgium,Million Cubic Meter,1350.64914
"November 26, 2023",Belgium,Million Cubic Meter,1511.525925
"December 31, 2023",Belgium,Million Cubic Meter,1862.916443
"January 28, 2024",Belgium,Million Cubic Meter,1319.25145
"February 25, 2024",Belgium,Million Cubic Meter,1280.496796
"March 31, 2024",Belgium,Million Cubic Meter,1056.444045
"April 28, 2024",Belgium,Million Cubic Meter,766.204018
"May 26, 2024",Belgium,Million Cubic Meter,711.583206
"June 30, 2024",Belgium,Million Cubic Meter,644.698074
"July 28, 2024",Belgium,Million Cubic Meter,618.163704
"September 1, 2024",Belgium,Million Cubic Meter,737.559876
"September 29, 2024",Belgium,Million Cubic Meter,966.492004
"October 27, 2024",Belgium,Million Cubic Meter,1481.262543
"December 1, 2024",Belgium,Million Cubic Meter,1601.650833
"December 29, 2024",Belgium,Million Cubic Meter,1854.251709
"January 26, 2025",Belgium,Million Cubic Meter,1587.950714
"February 23, 2025",Belgium,Million Cubic Meter,1270.581422
"March 30, 2025",Belgium,Million Cubic Meter,951.626999
"April 27, 2025",Belgium,Million Cubic Meter,755.272835
"June 1, 2025",Belgium,Million Cubic Meter,656.820747
"June 29, 2025",Belgium,Million Cubic Meter,640.91455
"July 27, 2025",Belgium,Million Cubic Meter,642.847123
"August 31, 2025",Belgium,Million Cubic Meter,700.430283
"December 30, 2018",Austria,Million Cubic Meter,1622.529333
"January 27, 2019",Austria,Million Cubic Meter,1247.517714
"February 24, 2019",Austria,Million Cubic Meter,964.392952
"March 31, 2019",Austria,Million Cubic Meter,776.374286
"April 28, 2019",Austria,Million Cubic Meter,618.92
"May 26, 2019",Austria,Million Cubic Meter,458.19181
"June 30, 2019",Austria,Million Cubic Meter,550.946667
"July 28, 2019",Austria,Million Cubic Meter,635.665905
"September 1, 2019",Austria,Million Cubic Meter,827.156952
"September 29, 2019",Austria,Million Cubic Meter,1046.171429
"October 27, 2019",Austria,Million Cubic Meter,1196.787834
"December 1, 2019",Austria,Million Cubic Meter,1327.788381
"December 29, 2019",Austria,Million Cubic Meter,1646.92222
"January 26, 2020",Austria,Million Cubic Meter,1146.608008
"March 1, 2020",Austria,Million Cubic Meter,1105.758765
"March 29, 2020",Austria,Million Cubic Meter,688.877684
"April 26, 2020",Austria,Million Cubic Meter,517.667448
"May 31, 2020",Austria,Million Cubic Meter,434.939108
"June 28, 2020",Austria,Million Cubic Meter,521.905799
"July 26, 2020",Austria,Million Cubic Meter,503.946353
"August 30, 2020",Austria,Million Cubic Meter,573.39788
"September 27, 2020",Austria,Million Cubic Meter,939.701202
"November 1, 2020",Austria,Million Cubic Meter,1225.736394
"November 29, 2020",Austria,Million Cubic Meter,1469.580816
"December 27, 2020",Austria,Million Cubic Meter,1561.243233
"January 31, 2021",Austria,Million Cubic Meter,1265.286686
"February 28, 2021",Austria,Million Cubic Meter,1238.972467
"March 28, 2021",Austria,Million Cubic Meter,1009.63305
"April 25, 2021",Austria,Million Cubic Meter,637.61403
"May 30, 2021",Austria,Million Cubic Meter,445.949699
"June 27, 2021",Austria,Million Cubic Meter,441.936195
"August 1, 2021",Austria,Million Cubic Meter,434.592548
"August 29, 2021",Austria,Million Cubic Meter,530.125434
"September 26, 2021",Austria,Million Cubic Meter,966.190456
"October 31, 2021",Austria,Million Cubic Meter,1412.949212
"November 28, 2021",Austria,Million Cubic Meter,1498.864554
"December 26, 2021",Austria,Million Cubic Meter,1531.783481
"January 30, 2022",Austria,Million Cubic Meter,1236.527872
"February 27, 2022",Austria,Million Cubic Meter,1303.387709
"March 27, 2022",Austria,Million Cubic Meter,858.08134
"May 1, 2022",Austria,Million Cubic Meter,578.190033
"May 29, 2022",Austria,Million Cubic Meter,420.987624
"June 26, 2022",Austria,Million Cubic Meter,397.855512
"July 31, 2022",Austria,Million Cubic Meter,369.01409
"August 28, 2022",Austria,Million Cubic Meter,605.73675
"September 25, 2022",Austria,Million Cubic Meter,704.773473
"October 30, 2022",Austria,Million Cubic Meter,1055.957184
"November 27, 2022",Austria,Million Cubic Meter,1247.230132
"January 1, 2023",Austria,Million Cubic Meter,1160.948539
"January 29, 2023",Austria,Million Cubic Meter,1079.430964
"February 26, 2023",Austria,Million Cubic Meter,908.303841
"March 26, 2023",Austria,Million Cubic Meter,779.547018
"April 30, 2023",Austria,Million Cubic Meter,515.049407
"May 28, 2023",Austria,Million Cubic Meter,346.912091
"June 25, 2023",Austria,Million Cubic Meter,362.154183
"July 30, 2023",Austria,Million Cubic Meter,327.24521
"August 27, 2023",Austria,Million Cubic Meter,441.381516
"October 1, 2023",Austria,Million Cubic Meter,608.844579
"October 29, 2023",Austria,Million Cubic Meter,923.294755
"November 26, 2023",Austria,Million Cubic Meter,1130.171614
"December 31, 2023",Austria,Million Cubic Meter,1075.385369
"January 28, 2024",Austria,Million Cubic Meter,714.598515
"February 25, 2024",Austria,Million Cubic Meter,641.77445
"March 31, 2024",Austria,Million Cubic Meter,498.110235
"April 28, 2024",Austria,Million Cubic Meter,366.16527
"May 26, 2024",Austria,Million Cubic Meter,337.138145
"June 30, 2024",Austria,Million Cubic Meter,315.801936
"July 28, 2024",Austria,Million Cubic Meter,308.764181
"September 1, 2024",Austria,Million Cubic Meter,391.402781
"September 29, 2024",Austria,Million Cubic Meter,564.991972
"October 27, 2024",Austria,Million Cubic Meter,973.256987
"December 1, 2024",Austria,Million Cubic Meter,1037.54262
"December 29, 2024",Austria,Million Cubic Meter,1126.477053
"January 26, 2025",Austria,Million Cubic Meter,1023.78791
"February 23, 2025",Austria,Million Cubic Meter,799.857114
"March 30, 2025",Austria,Million Cubic Meter,554.358549
"April 27, 2025",Austria,Million Cubic Meter,416.498549
"June 1, 2025",Austria,Million Cubic Meter,322.656854
"June 29, 2025",Austria,Million Cubic Meter,329.554424
"July 27, 2025",Austria,Million Cubic Meter,302.673532
"August 31, 2025",Austria,Million Cubic Meter,350.589001
"September 28, 2025",Austria,Million Cubic Meter,135.106181
